id1,id2,mu,sigma,alpha1,beta1,pi1,alpha2,beta2,pi2,age1,age2,species1,species2,sex1,sex2,zoo,dist,cv,delta,u
60,67,99.57181784173228,34.78175452729048,11.64456326323301,4.349833528316734,0.0539140085183976,21.426563958843985,3.105010020396981,0.1314751388594721,adult,young,Blessbock,Blessbock,female,female,8.0,0.0,0.3493132422526973,-103.0,0.8070444861400622
61,68,78.78087776371028,24.634279027091377,4.315832219229253,2.2018012048138504,2.94618195079079e-09,25.816646635192388,3.860425010712879,0.2211663648630976,adult,young,Blessbock,Blessbock,female,female,8.0,0.0,0.3126936348815212,-121.0,0.6388049339783882
57,65,168.1395593725855,67.09691080524857,25.35153878951036,1.2925797978005693,0.2004727807496076,15.043037475187536,7.910803084209571,0.999902831044036,adult,young,Blessbock,Blessbock,female,female,10.0,0.0,0.3990548747458444,1200.0,0.7820123438404112
58,66,135.5106977514832,56.884007717579046,4.799473325846849,1.595163874439646,2.322162756630036e-09,15.922708900313287,2.7688177017515567,0.2481321614176204,adult,young,Blessbock,Blessbock,female,female,10.0,0.0,0.4197750337165276,-82.0,0.9999999999998603
16,17,157.77696722461303,46.32476174342907,60.03394236362087,32.33133918184591,0.9616506019746316,27.7909465606976,17.855215717402807,0.949953463680176,subadult,subadult,Bongo,Bongo,male,male,16.0,0.0,0.2936091532136033,134.0,0.6609525339158725
36,39,111.4871756420458,23.13583134685811,17.362852189306828,7.666190360977925,0.0619284785783363,14.117662470229906,3.254925958021124,0.0143947892906233,subadult,young,Elenantilope,Elenantilope,female,female,5.0,0.0,0.2075201135343208,62.0,0.7745378329577484
35,40,100.00595818050176,22.613830682191683,21.888375806312453,4.448717345652626,0.0606828167840236,38.126358353489934,6.967013321929049,0.1901558500208694,subadult,young,Elenantilope,Elenantilope,male,male,12.0,0.0,0.2261248338961539,-281.0,0.875338803686423
31,41,105.62154767467428,41.32736783695327,8.629703768956967,3.894683726095904,0.0289513292732147,14.245241517663615,3.0190227449243525,0.1841954922319227,adult,young,Elenantilope,Elenantilope,female,female,16.0,0.0,0.3912778097538014,-313.0,0.9565800432360315
32,42,110.86779137132274,38.242447124519536,11.281984098637718,8.057880030922314,1.1920928955078247e-09,15.351794770382684,4.105225701510523,0.2567846058078535,adult,young,Elenantilope,Elenantilope,female,female,16.0,0.0,0.3449373948150228,-337.0,0.8678031229531145
77,85,166.91376200906802,42.269764983985255,9.957885939497528,8.85209523899823,0.1080977998395854,179.6719893541881,95.45977211817298,0.8394507284975653,adult,young,Streifengnu,Streifengnu,female,female,14.0,0.0,0.2532431387034991,-136.0,0.6083891901822935
